Time,Utilization (%)
2024-01-24 01:40:13,0.4827
2024-01-24 01:39:13,0.4782
2024-01-24 01:38:13,0.4768
2024-01-24 01:37:13,0.4806
2024-01-24 01:36:13,0.4807
2024-01-24 01:35:13,0.4854
2024-01-24 01:34:13,0.4821
2024-01-24 01:33:13,0.4786
2024-01-24 01:32:13,0.4808
2024-01-24 01:31:13,0.4801
2024-01-24 01:30:13,0.4746
2024-01-24 01:29:13,0.4775
2024-01-24 01:28:13,0.4708
2024-01-24 01:27:13,0.4821
2024-01-24 01:26:13,0.4795
2024-01-24 01:25:13,0.4797
2024-01-24 01:24:13,0.4811
2024-01-24 01:23:13,0.4834
2024-01-24 01:22:13,0.4903
2024-01-24 01:21:13,0.4859
2024-01-24 01:20:13,0.4822
2024-01-24 01:19:13,0.4913
2024-01-24 01:18:13,0.4840
2024-01-24 01:17:13,0.4845
2024-01-24 01:16:13,0.4826
2024-01-24 01:15:13,0.4820
2024-01-24 01:14:13,0.4831
2024-01-24 01:13:13,0.4854
2024-01-24 01:12:13,0.4900
2024-01-24 01:11:13,0.4892
2024-01-24 01:10:13,0.4829
2024-01-24 01:09:13,0.4915
2024-01-24 01:08:13,0.4897
2024-01-24 01:07:13,0.4896
2024-01-24 01:06:13,0.4874
2024-01-24 01:05:13,0.4954
2024-01-24 01:04:13,0.4954
2024-01-24 01:03:13,0.4991
2024-01-24 01:02:13,0.5022
2024-01-24 01:01:13,0.4963
2024-01-24 01:00:13,0.4787
2024-01-24 00:59:13,0.4868
2024-01-24 00:58:13,0.4857
2024-01-24 00:57:13,0.4902
2024-01-24 00:56:13,0.4819
2024-01-24 00:55:13,0.4869
2024-01-24 00:54:13,0.4771
2024-01-24 00:53:13,0.4824
2024-01-24 00:52:13,0.4810
2024-01-24 00:51:13,0.4887
2024-01-24 00:50:13,0.4820
2024-01-24 00:49:13,0.4840
2024-01-24 00:48:13,0.5054
2024-01-24 00:47:13,0.4923
2024-01-24 00:46:13,0.4854
2024-01-24 00:45:13,0.4918
2024-01-24 00:44:13,0.4818
2024-01-24 00:43:13,0.4832
2024-01-24 00:42:13,0.4827
2024-01-24 00:41:13,0.4839
2024-01-24 00:40:13,0.4766
2024-01-24 00:39:13,0.4798
2024-01-24 00:38:13,0.4810
2024-01-24 00:37:13,0.4838
2024-01-24 00:36:13,0.4807
2024-01-24 00:35:13,0.4854
2024-01-24 00:34:13,0.4862
2024-01-24 00:33:13,0.4865
2024-01-24 00:32:13,0.5043
2024-01-24 00:31:13,0.4968
2024-01-24 00:30:13,0.4791
2024-01-24 00:29:13,0.4850
2024-01-24 00:28:13,0.4794
2024-01-24 00:27:13,0.4922
2024-01-24 00:26:13,0.4786
2024-01-24 00:25:13,0.4835
2024-01-24 00:24:13,0.4837
2024-01-24 00:23:13,0.4841
2024-01-24 00:22:13,0.4781
2024-01-24 00:21:13,0.4869
2024-01-24 00:20:13,0.4839
2024-01-24 00:19:13,0.4833
2024-01-24 00:18:13,0.4829
2024-01-24 00:17:13,0.4877
2024-01-24 00:16:13,0.4861
2024-01-24 00:15:13,0.4964
2024-01-24 00:14:13,0.4900
2024-01-24 00:13:13,0.4968
2024-01-24 00:12:13,0.4975
2024-01-24 00:11:13,0.4938
2024-01-24 00:10:13,0.4941
2024-01-24 00:09:13,0.4956
2024-01-24 00:08:13,0.5030
2024-01-24 00:07:13,0.5002
2024-01-24 00:06:13,0.4925
2024-01-24 00:05:13,0.5015
2024-01-24 00:04:13,0.4983
2024-01-24 00:03:13,0.5018
2024-01-24 00:02:13,0.5089
2024-01-24 00:01:13,0.4992
2024-01-24 00:00:13,0.4845
2024-01-23 23:59:13,0.5227
2024-01-23 23:58:13,0.4821
2024-01-23 23:57:13,0.4835
2024-01-23 23:56:13,0.4937
2024-01-23 23:55:13,0.4823
2024-01-23 23:54:13,0.4955
2024-01-23 23:53:13,0.4848
2024-01-23 23:52:13,0.4808
2024-01-23 23:51:13,0.4841
2024-01-23 23:50:13,0.4811
2024-01-23 23:49:13,0.4847
2024-01-23 23:48:13,0.4786
2024-01-23 23:47:13,0.4865
2024-01-23 23:46:13,0.4790
2024-01-23 23:45:13,0.4893
2024-01-23 23:44:13,0.4772
2024-01-23 23:43:13,0.4845
2024-01-23 23:42:13,0.4802
2024-01-23 23:41:13,0.4889
2024-01-23 23:40:13,0.4805
2024-01-23 23:39:13,0.4842
2024-01-23 23:38:13,0.4836
2024-01-23 23:37:13,0.4886
2024-01-23 23:36:13,0.4847
2024-01-23 23:35:13,0.4956
2024-01-23 23:34:13,0.4841
